sample_index,timestamp_unix,elapsed_seconds,raw_value,voltage
0,1782079180.2337198,0.009069,1476,1.8018
1,1782079180.2338533,0.009203,1482,1.8091
2,1782079180.2339404,0.009290,1481,1.8079
3,1782079180.2339704,0.009320,1480,1.8066
4,1782079180.2340128,0.009362,1480,1.8066
5,1782079180.2340908,0.009440,1483,1.8103
6,1782079180.2341855,0.009535,1484,1.8115
7,1782079180.2342541,0.009604,1481,1.8079
8,1782079180.2343,0.009650,1483,1.8103
9,1782079180.2343554,0.009705,1483,1.8103
10,1782079180.2343912,0.009741,1481,1.8079
11,1782079180.2344494,0.009799,1477,1.8030
12,1782079180.2345057,0.009855,1474,1.7993
13,1782079180.2345402,0.009890,1477,1.8030
14,1782079180.2345738,0.009923,1474,1.7993
15,1782079180.2346559,0.010005,1478,1.8042
16,1782079180.2346916,0.010041,1470,1.7944
17,1782079180.2347338,0.010083,1473,1.7981
18,1782079180.2347755,0.010125,1465,1.7883
19,1782079180.2348115,0.010161,1462,1.7847
20,1782079180.2352,0.010550,1463,1.7859
21,1782079180.236162,0.011512,1458,1.7798
22,1782079180.2362776,0.011627,1455,1.7761
23,1782079180.2368264,0.012176,1457,1.7786
24,1782079180.237191,0.012541,1447,1.7664
25,1782079180.2377324,0.013082,1455,1.7761
26,1782079180.2382443,0.013594,1451,1.7712
27,1782079180.2387364,0.014086,1450,1.7700
28,1782079180.23923,0.014580,1445,1.7639
29,1782079180.2397327,0.015082,1451,1.7712
30,1782079180.2402442,0.015594,1451,1.7712
31,1782079180.2407253,0.016075,1450,1.7700
32,1782079180.2412167,0.016566,1451,1.7712
33,1782079180.241731,0.017081,1450,1.7700
34,1782079180.242231,0.017581,1455,1.7761
35,1782079180.2427225,0.018072,1453,1.7737
36,1782079180.243244,0.018594,1451,1.7712
37,1782079180.2437365,0.019086,1456,1.7773
38,1782079180.2442415,0.019591,1457,1.7786
39,1782079180.2449913,0.020341,1458,1.7798
40,1782079180.2452202,0.020570,1461,1.7834
41,1782079180.2457745,0.021124,1460,1.7822
42,1782079180.2462451,0.021595,1468,1.7920
43,1782079180.246724,0.022074,1468,1.7920
44,1782079180.2572443,0.032594,1470,1.7944
45,1782079180.2574143,0.032764,1468,1.7920
46,1782079180.2574537,0.032803,1474,1.7993
47,1782079180.257493,0.032843,1473,1.7981
48,1782079180.2575269,0.032876,1473,1.7981
49,1782079180.2583191,0.033669,1475,1.8005
50,1782079180.2622023,0.037552,1480,1.8066
51,1782079180.262332,0.037682,1484,1.8115
52,1782079180.2623725,0.037722,1483,1.8103
53,1782079180.2623985,0.037748,1481,1.8079
54,1782079180.2624218,0.037771,1483,1.8103
55,1782079180.2634442,0.038794,1482,1.8091
56,1782079180.263549,0.038899,1477,1.8030
57,1782079180.269137,0.044487,1479,1.8054
58,1782079180.2692792,0.044629,1474,1.7993
59,1782079180.2694545,0.044804,1476,1.8018
60,1782079180.2695854,0.044935,1477,1.8030
61,1782079180.2696962,0.045046,1473,1.7981
62,1782079180.2697446,0.045094,1467,1.7908
63,1782079180.2698474,0.045197,1470,1.7944
64,1782079180.269987,0.045337,1469,1.7932
65,1782079180.2700584,0.045408,1462,1.7847
66,1782079180.2700932,0.045443,1461,1.7834
67,1782079180.270243,0.045593,1456,1.7773
68,1782079180.2703657,0.045715,1457,1.7786
69,1782079180.2704341,0.045784,1451,1.7712
70,1782079180.2704809,0.045830,1453,1.7737
71,1782079180.2705402,0.045890,1444,1.7627
72,1782079180.2705722,0.045922,1449,1.7688
73,1782079180.2738333,0.049183,1451,1.7712
74,1782079180.273891,0.049241,1449,1.7688
75,1782079180.2739177,0.049267,1451,1.7712
76,1782079180.273946,0.049296,1450,1.7700
77,1782079180.2746224,0.049972,1454,1.7749
78,1782079180.274737,0.050086,1449,1.7688
79,1782079180.2747722,0.050122,1455,1.7761
80,1782079180.2747965,0.050146,1449,1.7688
81,1782079180.2748191,0.050169,1453,1.7737
82,1782079180.2748673,0.050217,1455,1.7761
83,1782079180.27544,0.050790,1454,1.7749
84,1782079180.2754939,0.050843,1452,1.7725
85,1782079180.2755232,0.050873,1449,1.7688
86,1782079180.2755685,0.050918,1453,1.7737
