sample_index,timestamp_unix,elapsed_seconds,raw_value,voltage
0,1782079210.2928646,0.001475,1383,1.6882
1,1782079210.293011,0.001621,1381,1.6858
2,1782079210.2931044,0.001715,1385,1.6907
3,1782079210.2932792,0.001890,1380,1.6846
4,1782079210.2937713,0.002382,1375,1.6785
5,1782079210.2942717,0.002882,1370,1.6724
6,1782079210.294743,0.003354,1374,1.6772
7,1782079210.295354,0.003964,1373,1.6760
8,1782079210.2958367,0.004447,1375,1.6785
9,1782079210.2963114,0.004922,1378,1.6821
10,1782079210.296868,0.005479,1370,1.6724
11,1782079210.297352,0.005963,1377,1.6809
12,1782079210.2983434,0.006954,1376,1.6797
13,1782079210.2984447,0.007055,1382,1.6870
14,1782079210.2988143,0.007425,1378,1.6821
15,1782079210.2993343,0.007945,1380,1.6846
16,1782079210.299798,0.008409,1377,1.6809
17,1782079210.3052745,0.013885,1386,1.6919
18,1782079210.3110416,0.019652,1381,1.6858
19,1782079210.314465,0.023076,1382,1.6870
20,1782079210.3145819,0.023192,1386,1.6919
21,1782079210.314688,0.023299,1385,1.6907
22,1782079210.3147297,0.023340,1389,1.6956
23,1782079210.3155186,0.024129,1386,1.6919
24,1782079210.3163555,0.024966,1396,1.7041
25,1782079210.316473,0.025084,1391,1.6980
26,1782079210.3165498,0.025160,1390,1.6968
27,1782079210.3174,0.026011,1388,1.6943
28,1782079210.318212,0.026823,1392,1.6992
29,1782079210.3183837,0.026994,1392,1.6992
30,1782079210.3184795,0.027090,1387,1.6931
31,1782079210.3202314,0.028842,1388,1.6943
32,1782079210.3203065,0.028917,1391,1.6980
33,1782079210.3212411,0.029852,1385,1.6907
34,1782079210.3213482,0.029959,1382,1.6870
35,1782079210.3214161,0.030027,1381,1.6858
36,1782079210.3214638,0.030074,1380,1.6846
37,1782079210.3230805,0.031691,1378,1.6821
38,1782079210.3245637,0.033174,1377,1.6809
39,1782079210.324673,0.033283,1369,1.6711
40,1782079210.3256009,0.034211,1370,1.6724
41,1782079210.325669,0.034280,1369,1.6711
42,1782079210.3312309,0.039841,1369,1.6711
43,1782079210.331445,0.040056,1367,1.6687
44,1782079210.331572,0.040183,1362,1.6626
45,1782079210.3316793,0.040290,1365,1.6663
46,1782079210.3317885,0.040399,1364,1.6650
47,1782079210.331853,0.040463,1363,1.6638
48,1782079210.331962,0.040573,1365,1.6663
49,1782079210.3320308,0.040641,1368,1.6699
50,1782079210.332122,0.040733,1361,1.6614
51,1782079210.332189,0.040800,1363,1.6638
52,1782079210.3323183,0.040929,1363,1.6638
