sample_index,timestamp_unix,elapsed_seconds,raw_value,voltage
0,1782079237.7593713,0.002113,1376,1.6797
1,1782079237.7594328,0.002175,1379,1.6833
2,1782079237.7594907,0.002233,1379,1.6833
3,1782079237.7595274,0.002270,1378,1.6821
4,1782079237.7595873,0.002329,1378,1.6821
5,1782079237.76037,0.003112,1383,1.6882
6,1782079237.7611525,0.003895,1378,1.6821
7,1782079237.7611973,0.003939,1388,1.6943
8,1782079237.761923,0.004665,1384,1.6895
9,1782079237.7626517,0.005394,1387,1.6931
10,1782079237.7626843,0.005426,1391,1.6980
11,1782079237.763439,0.006181,1382,1.6870
12,1782079237.7637694,0.006511,1386,1.6919
13,1782079237.7685373,0.011279,1386,1.6919
14,1782079237.7686684,0.011410,1390,1.6968
15,1782079237.7687883,0.011530,1383,1.6882
16,1782079237.768837,0.011579,1390,1.6968
17,1782079237.7688982,0.011640,1386,1.6919
18,1782079237.7689455,0.011688,1384,1.6895
19,1782079237.768988,0.011730,1377,1.6809
20,1782079237.769043,0.011785,1382,1.6870
21,1782079237.7691195,0.011862,1381,1.6858
22,1782079237.7691615,0.011904,1377,1.6809
23,1782079237.7692056,0.011948,1372,1.6748
24,1782079237.7710266,0.013769,1372,1.6748
25,1782079237.7711482,0.013890,1374,1.6772
26,1782079237.7712224,0.013964,1368,1.6699
27,1782079237.7712662,0.014008,1363,1.6638
28,1782079237.7716117,0.014354,1361,1.6614
29,1782079237.7724407,0.015183,1361,1.6614
30,1782079237.772628,0.015370,1362,1.6626
31,1782079237.773099,0.015841,1364,1.6650
32,1782079237.7736168,0.016359,1359,1.6589
33,1782079237.7741215,0.016864,1361,1.6614
34,1782079237.7746158,0.017358,1360,1.6602
35,1782079237.775136,0.017878,1364,1.6650
36,1782079237.7756753,0.018417,1368,1.6699
37,1782079237.776148,0.018890,1362,1.6626
38,1782079237.776671,0.019413,1364,1.6650
39,1782079237.7772093,0.019951,1364,1.6650
40,1782079237.777684,0.020426,1375,1.6785
41,1782079237.7781858,0.020928,1366,1.6675
42,1782079237.7786653,0.021407,1373,1.6760
43,1782079237.7791274,0.021869,1375,1.6785
44,1782079237.7796814,0.022424,1375,1.6785
45,1782079237.7801018,0.022844,1384,1.6895
46,1782079237.780612,0.023354,1380,1.6846
47,1782079237.7811275,0.023870,1384,1.6895
48,1782079237.7816546,0.024397,1382,1.6870
49,1782079237.7827592,0.025501,1381,1.6858
50,1782079237.7828596,0.025602,1382,1.6870
51,1782079237.7831643,0.025906,1388,1.6943
52,1782079237.7837105,0.026453,1383,1.6882
53,1782079237.7841816,0.026924,1383,1.6882
54,1782079237.785274,0.028016,1384,1.6895
55,1782079237.7919996,0.034742,1381,1.6858
56,1782079237.7933216,0.036064,1383,1.6882
57,1782079237.7933893,0.036131,1382,1.6870
58,1782079237.7936554,0.036397,1380,1.6846
59,1782079237.7937124,0.036454,1378,1.6821
60,1782079237.7939448,0.036687,1374,1.6772
61,1782079237.7949393,0.037681,1375,1.6785
62,1782079237.794983,0.037725,1374,1.6772
63,1782079237.7950087,0.037751,1370,1.6724
64,1782079237.795036,0.037778,1372,1.6748
65,1782079237.7955093,0.038251,1366,1.6675
66,1782079237.79637,0.039112,1369,1.6711
67,1782079237.7964063,0.039148,1361,1.6614
68,1782079237.7972987,0.040041,1364,1.6650
69,1782079237.7983801,0.041122,1359,1.6589
70,1782079237.7993398,0.042082,1357,1.6565
71,1782079237.80009,0.042832,1360,1.6602
72,1782079237.800211,0.042953,1361,1.6614
73,1782079237.8008306,0.043573,1360,1.6602
74,1782079237.803474,0.046216,1356,1.6553
75,1782079237.8035166,0.046259,1361,1.6614
76,1782079237.8035645,0.046307,1351,1.6492
77,1782079237.8035946,0.046337,1356,1.6553
78,1782079237.803636,0.046378,1357,1.6565
79,1782079237.8036625,0.046405,1365,1.6663
80,1782079237.8037171,0.046459,1363,1.6638
81,1782079237.8037841,0.046526,1363,1.6638
82,1782079237.803827,0.046569,1368,1.6699
83,1782079237.803869,0.046611,1369,1.6711
84,1782079237.8038957,0.046638,1372,1.6748
